"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_v8.nlogo"
"main-simulation-results-covary-social-costs-prev"
"01/27/2026 23:46:02:396 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","number-of-scouts","reorient-tick","cost-leaving","cost-of-infection","disease-prevalence","cost-perception-distance","cost-perception-angle","cost-walk-speed","cost-leading","cost-disappointment","[step]","nest-energy","ind-ant-times-visited","total-num-food-visits","total-num-food-visits-returned","total-num-food-visits-returned-ui","total-num-food-visits-returned-i","total-num-ants-visited","total-num-active-ants","total-foraging-distance","total-foraging-distance-ui","total-foraging-distance-i","forager-energy-ui","forager-energy-i","total-steps-taken","number-tr"
"17","25","5","0","0.5","0.5","1","0","0","1","0","5400","590.9635900122954","8.26","826","788","428","360","95","100","145740.80000012313","56424.00000006502","89316.80000018468","344.8827812654604","288.18520186895336","182176","94"
"18","25","5","0","0.6","0.5","1","0","0","1","0","5400","701.9560640498518","9.71","971","936","509","427","98","100","158931.99999993117","76064.00000013647","82868.00000016122","400.5080214580158","341.9059251216868","198665","90"
"19","25","5","0","0.7","0.5","1","0","0","1","0","5400","580.4635860971109","8.1","810","774","444","330","95","100","154263.1999999991","67876.80000010668","86386.40000017402","352.53552913337046","261.78609795669274","192829","93"
"20","25","5","0","0.8","0.5","1","0","0","1","0","5400","554.2154467883064","7.66","766","739","428","311","92","100","157915.19999994597","75802.40000013552","82112.80000015847","333.85810930496064","247.31865244706304","197394","89"
"21","25","5","0","0.9","0.5","1","0","0","1","0","5400","482.96903016046247","6.72","672","644","416","228","92","100","146015.20000011913","56195.200000064186","89820.00000018651","327.6578585903434","184.11629575099465","182519","97"
"23","25","5","0","0","0.9","1","0","0","1","0","5400","889.4543859041106","12.34","1234","1186","121","1065","100","100","156721.59999996333","19183.999999991316","137537.6000002425","95.150388724849","838.8767339581761","195902","86"
"24","25","5","0","0.1","0.9","1","0","0","1","0","5400","835.45483394798","11.6","1160","1114","116","998","100","100","158860.7999999322","15362.399999994792","143498.40000015576","91.90780765197329","792.4999138870179","198576","99"
"22","25","5","0","0.995","0.5","1","0","0","1","0","5400","576.7140060005947","7.97","797","769","542","227","92","100","184432.79999956008","79440.80000014875","104992.00000024171","427.53825987234626","177.31791604591476","230541","129"
"25","25","5","0","0.2","0.9","1","0","0","1","0","5400","688.4578471714649","9.57","957","918","99","819","98","100","155220.79999998517","12315.199999997563","142905.60000016438","78.23374044456217","655.2250912938043","194026","85"
"26","25","5","0","0.3","0.9","1","0","0","1","0","5400","740.2079293903295","10.27","1027","987","97","890","99","100","146895.20000010633","17656.799999992705","129238.40000032992","78.13210830223187","704.7730190398262","183619","89"
"27","25","5","0","0.4","0.9","1","0","0","1","0","5400","581.2144097539453","8.08","808","775","95","680","94","100","142547.2000001696","13122.39999999683","129424.8000003306","75.30224770315338","543.5854652060533","178184","93"
"33","25","5","0","0.995","0.9","1","0","0","1","0","5400","33.74368064832508","0.47","47","45","11","34","13","30","97952.8000002161","2540.0000000000296","95412.80000020686","8.999224793567812","26.92706719726013","122441","5"
"29","25","5","0","0.6","0.9","1","0","0","1","0","5400","263.22878949068087","3.69","369","351","43","308","56","68","111874.40000026675","6848.800000001009","105025.60000024183","34.729165409217345","248.2678998957752","139843","49"
"32","25","5","0","0.9","0.9","1","0","0","1","0","5400","83.24385878919719","1.2","120","111","59","52","21","43","107555.20000025103","10321.599999999376","97233.60000021348","47.36560170266402","42.720263932821766","134444","19"
"31","25","5","0","0.8","0.9","1","0","0","1","0","5400","167.9810549140224","2.39","239","224","57","167","44","56","102164.80000023142","9196.0000000004","92968.80000019797","45.50344819644811","137.04032503006235","127706","34"
