[run number],number-of-scouts,reorient-tick,cost-leaving,cost-of-infection,disease-prevalence,cost-perception-distance,cost-perception-angle,cost-walk-speed,cost-leading,cost-disappointment,[step],nest-energy,ind-ant-times-visited,total-num-food-visits,total-num-food-visits-returned,total-num-food-visits-returned-ui,total-num-food-visits-returned-i,total-num-ants-visited,total-num-active-ants,total-foraging-distance,total-foraging-distance-ui,total-foraging-distance-i,forager-energy-ui,forager-energy-i,total-steps-taken,number-tr
229,25,5,0,0.8,0.9,0,1,0,0,0,5400,575.952014,8.04,804,768,109,659,98,100,199922.4,16039.2,183883.2,86.20135578,523.7063501,249903,131
230,25,5,0,0.9,0.9,0,1,0,0,0,5400,442.4546453,6.22,622,590,96,494,98,100,191776,14398.4,177377.6,76.0268601,395.0146057,239720,154
232,25,5,0,0,0.1,0,0,1,0,0,5400,904.4518706,12.57,1257,1206,1080,126,100,100,165353.6,148551.2,16802.4,852.4296113,97.86361719,206692,84
233,25,5,0,0.1,0.1,0,0,1,0,0,5400,861.7040027,11.9,1190,1149,1035,114,98,100,164564.24,151299.84,13264.4,811.0662548,89.51426247,207548,82
231,25,5,0,0.995,0.9,0,1,0,0,0,5400,364.4564619,5.05,505,486,74,412,93,100,198394.4,16052,182342.4,59.73885406,325.4256052,247993,163
234,25,5,0,0.2,0.1,0,0,1,0,0,5400,812.9536807,11.32,1132,1084,986,98,100,100,157069.28,144475.52,12593.76,780.1745875,79.00772396,200258,88
236,25,5,0,0.4,0.1,0,0,1,0,0,5400,858.7018995,11.97,1197,1145,1101,44,100,100,161684.64,146753.12,14931.52,873.6301254,33.35509614,213927,94
237,25,5,0,0.5,0.1,0,0,1,0,0,5400,802.4546044,11.05,1105,1070,1045,25,97,100,161264.8,147063.2,14201.6,817.9487885,19.49163203,218237,97
238,25,5,0,0.6,0.1,0,0,1,0,0,5400,690.7077324,9.52,952,921,897,24,96,100,153312.32,143400.96,9911.36,705.6373977,18.33667795,208435,107
239,25,5,0,0.7,0.1,0,0,1,0,0,5400,673.4604319,9.37,937,898,877,21,98,100,139464.24,132499.2,6965.04,701.5595287,16.14977771,192097,98
240,25,5,0,0.8,0.1,0,0,1,0,0,5400,797.2045601,11.13,1113,1063,1043,20,98,100,152029.92,145697.12,6332.8,827.417953,16.14141425,217447,95
241,25,5,0,0.9,0.1,0,0,1,0,0,5400,722.2092535,10.1,1010,963,950,13,97,100,142309.68,139228.8,3080.88,753.7824757,9.742100382,206337,101
242,25,5,0,0.995,0.1,0,0,1,0,0,5400,783.7069912,10.83,1083,1045,1045,0,98,100,149135.46,148588,547.46,815.7358608,6.74173627,219518,98
243,25,5,0,0,0.5,0,0,1,0,0,5400,877.4527633,12.09,1209,1170,585,585,100,100,165660.8,84266.4,81394.4,458.0242535,458.9376317,207076,86
244,25,5,0,0.1,0.5,0,0,1,0,0,5400,885.6996551,12.23,1223,1181,609,572,100,100,163344.96,84164.96,79180,479.3429984,452.1419002,215222,84
235,25,5,0,0.3,0.1,0,0,1,0,0,5400,841.4528998,11.71,1171,1122,1032,90,100,100,157342.4,142628.8,14713.6,815.2126375,71.03113538,204523,96
245,25,5,0,0.2,0.5,0,0,1,0,0,5400,726.7049389,9.96,996,969,524,445,99,100,141173.28,69223.68,71949.6,406.9600483,352.2913596,198873,89
246,25,5,0,0.3,0.5,0,0,1,0,0,5400,687.7008948,9.51,951,917,533,384,100,100,146608.88,74238.4,72370.48,418.2772129,304.8124307,221494,115
247,25,5,0,0.4,0.5,0,0,1,0,0,5400,618.7009995,8.5,850,825,608,217,98,100,153947.04,80067.36,73879.68,476.8692016,166.6879513,252161,125
248,25,5,0,0.5,0.5,0,0,1,0,0,5400,527.2077897,7.31,731,703,553,150,98,100,143650,76101.2,67548.8,436.1140449,119.0157969,261738,131
249,25,5,0,0.6,0.5,0,0,1,0,0,5400,500.2053162,6.83,683,667,566,101,98,100,141671.52,82525.28,59146.24,440.4684954,76.58149692,281535,148
250,25,5,0,0.7,0.5,0,0,1,0,0,5400,330.7207864,4.49,449,441,376,65,85,100,96048.72,60405.6,35643.12,295.0939817,50.96531,217965,117
253,25,5,0,0.995,0.5,0,0,1,0,0,5400,365.9793687,5.46,546,488,488,0,84,100,73984.932,71298.4,2686.532,387.8594816,25.47055243,209526,79
252,25,5,0,0.9,0.5,0,0,1,0,0,5400,329.9740533,4.61,461,440,396,44,82,100,76410.32,62450.64,13959.68,313.1058917,37.4655618,219586,122
254,25,5,0,0,0.9,0,0,1,0,0,5400,909.702616,12.6,1260,1213,126,1087,99,100,166372.8,16408,149964.8,97.36373808,856.604183,207966,87
255,25,5,0,0.1,0.9,0,0,1,0,0,5400,838.453146,11.44,1144,1118,112,1006,98,100,153207.2,13312,139895.2,89.93966818,782.3275203,210990,92
256,25,5,0,0.2,0.9,0,0,1,0,0,5400,758.9502679,10.56,1056,1012,108,904,99,100,146988.96,15923.68,131065.28,85.10134794,713.9562325,224764,93
257,25,5,0,0.3,0.9,0,0,1,0,0,5400,548.2051853,7.56,756,731,106,625,98,100,126158.24,13858.4,112299.84,85.34573808,490.7386456,217480,103
258,25,5,0,0.4,0.9,0,0,1,0,0,5400,375.7069697,5.22,522,501,99,402,93,100,124604.8,15231.68,109373.12,78.68280472,316.5759678,245828,157
259,25,5,0,0.5,0.9,0,0,1,0,0,5400,248.2137158,3.48,348,331,83,248,96,100,106698.8,14182,92516.8,65.9268601,198.4190388,247422,136
251,25,5,0,0.8,0.5,0,0,1,0,0,5400,390.7207015,5.48,548,521,458,63,85,100,91019.04,64708,26311.04,367.5489039,51.71391032,229193,132
260,25,5,0,0.6,0.9,0,0,1,0,0,5400,44.23531023,0.67,67,59,36,23,25,41,44037.92,5267.84,38770.08,29.24835783,21.06433742,127009,17
261,25,5,0,0.7,0.9,0,0,1,0,0,5400,76.48466129,1.09,109,102,68,34,40,58,42507.2,11728,30779.2,55.07142226,29.36324191,139556,44
262,25,5,0,0.8,0.9,0,0,1,0,0,5400,55.48993113,0.84,84,74,50,24,31,55,29248.64,6257.12,22991.52,41.84805464,21.71598806,147216,36
263,25,5,0,0.9,0.9,0,0,1,0,0,5400,18.74598547,0.27,27,25,19,6,9,35,16243.92,5815.2,10428.72,15.14197422,5.218888724,134541,10
264,25,5,0,0.995,0.9,0,0,1,0,0,5400,0,0,0,0,0,0,0,25,14.932,0,14.932,0,-9.13E-04,3733,0
265,25,5,0,0,0.1,0,0,0,1,0,5400,896.2032711,12.42,1242,1195,1075,120,100,100,160061.6,141508,18553.6,851.3442712,94.33807959,200077,90
267,25,5,0,0.2,0.1,0,0,0,1,0,5400,851.2053028,11.72,1172,1135,1003,132,96,100,172656.8,157204,15452.8,786.3269742,104.101532,215821,97
268,25,5,0,0.3,0.1,0,0,0,1,0,5400,881.9518623,12.22,1222,1176,1074,102,100,100,164621.6,148127.2,16494.4,848.8922485,79.882457,205777,88
269,25,5,0,0.4,0.1,0,0,0,1,0,5400,898.4523945,12.46,1246,1198,1082,116,100,100,166752.8,153142.4,13610.4,853.3219596,91.20209159,208441,85
270,25,5,0,0.5,0.1,0,0,0,1,0,5400,881.9540279,12.1,1210,1176,1057,119,98,100,163404,146182.4,17221.6,824.6740917,94.13223604,204255,85
271,25,5,0,0.6,0.1,0,0,0,1,0,5400,818.9552372,11.31,1131,1092,976,116,99,100,158264,144758.4,13505.6,772.430777,92.08962315,197830,83
272,25,5,0,0.7,0.1,0,0,0,1,0,5400,878.2044549,12.11,1211,1171,1056,115,100,100,156154.4,143002.4,13152,832.5438185,89.8522318,195193,95
273,25,5,0,0.8,0.1,0,0,0,1,0,5400,828.7045344,11.39,1139,1105,1014,91,99,100,161488.8,144160.8,17328,794.4934586,73.14470398,201861,87
274,25,5,0,0.9,0.1,0,0,0,1,0,5400,882.7031174,12.17,1217,1177,1059,118,100,100,161373.6,145100.8,16272.8,832.6681733,92.16377454,201717,88
266,25,5,0,0.1,0.1,0,0,0,1,0,5400,793.4543125,10.97,1097,1058,960,98,99,100,158739.2,140971.2,17768,753.5694393,75.76956891,198424,95
275,25,5,0,0.995,0.1,0,0,0,1,0,5400,868.454531,11.91,1191,1158,1033,125,100,100,155252.8,139793.6,15459.2,807.7697976,98.90777462,194066,89
277,25,5,0,0.1,0.5,0,0,0,1,0,5400,866.2051215,12.01,1201,1155,560,595,99,100,157349.6,74989.6,82360,438.6708442,467.9998386,196687,96
276,25,5,0,0,0.5,0,0,0,1,0,5400,898.4524303,12.33,1233,1198,595,603,100,100,162376.8,81985.6,80391.2,463.8749531,474.7441913,202971,91
278,25,5,0,0.2,0.5,0,0,0,1,0,5400,860.2047527,11.87,1187,1147,588,559,100,100,154848,77552,77296,462.8888112,441.5138831,193560,89
279,25,5,0,0.3,0.5,0,0,0,1,0,5400,751.4553985,10.39,1039,1002,499,503,100,100,152868,77844.8,75023.2,393.5199746,394.5083298,191085,87
280,25,5,0,0.4,0.5,0,0,0,1,0,5400,725.9593159,10.01,1001,968,504,464,99,100,146146.4,71645.6,74500.8,395.9468732,366.7147334,182683,89
282,25,5,0,0.6,0.5,0,0,0,1,0,5400,639.7118676,8.84,884,853,426,427,97,100,143896,70506.4,73389.6,340.7909751,341.6775728,179870,93
283,25,5,0,0.7,0.5,0,0,0,1,0,5400,804.7071914,11.28,1128,1073,567,506,99,100,151695.2,72060,79635.2,451.4217489,405.0131581,189619,85
284,25,5,0,0.8,0.5,0,0,0,1,0,5400,742.4586194,10.22,1022,990,481,509,100,100,141684,72367.2,69316.8,380.3154096,399.9725637,177105,88
285,25,5,0,0.9,0.5,0,0,0,1,0,5400,813.7081697,11.12,1112,1085,554,531,98,100,147757.6,71439.2,76318.4,433.25319,417.5329187,184697,84
286,25,5,0,0.995,0.5,0,0,0,1,0,5400,749.2076588,10.37,1037,999,524,475,100,100,145640.8,71132.8,74508,418.5720354,377.6209771,182051,89
287,25,5,0,0,0.9,0,0,0,1,0,5400,885.7018472,12.05,1205,1181,109,1072,100,100,163979.2,16038.4,147940.8,86.01385064,838.0673019,204974,86
288,25,5,0,0.1,0.9,0,0,0,1,0,5400,854.2053985,11.82,1182,1139,90,1049,99,100,160968.8,20578.4,140390.4,72.27495879,825.6383572,201211,81
289,25,5,0,0.2,0.9,0,0,0,1,0,5400,762.7077686,10.67,1067,1017,97,920,100,100,145586.4,15232.8,130353.6,77.0703468,734.347686,181983,93
281,25,5,0,0.5,0.5,0,0,0,1,0,5400,850.4552928,11.77,1177,1134,563,571,98,100,159604.8,81620,77984.8,446.3750706,452.3574207,199506,91
290,25,5,0,0.3,0.9,0,0,0,1,0,5400,815.9574297,11.32,1132,1088,104,984,99,100,149946.4,19222.4,130724,79.22537796,779.5975637,187433,87
291,25,5,0,0.4,0.9,0,0,0,1,0,5400,737.9609732,10.41,1041,984,101,883,98,100,141669.6,11750.4,129919.2,80.99641663,706.9478098,177087,86
